run_id	exp_id	profile	stage	status	return_code	family	model_id	corpus_id	dataset_id	view	train_prop	axis_values_json	make_vars_json	overrides_json	metrics_path	log_path	started_at	finished_at	duration_s	TRAIN_PROP	axis_balance	axis_family_model	axis_train_prop
ideo_learning_curve_run_000000	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.1	"{""train_prop"": ""tp_0.1"", ""family_model"": ""sklearn_svm"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.1"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.1, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000000.log	1764161823.210513	1764161824.2109735	1.0004737377166748	0.1	no_balance	sklearn_svm	tp_0.1
ideo_learning_curve_run_000001	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.1	"{""train_prop"": ""tp_0.1"", ""family_model"": ""sklearn_svm"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.1"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.1, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000001.log	1764161824.211788	1764161825.2125878	1.000826358795166	0.1	oversample_parity	sklearn_svm	tp_0.1
ideo_learning_curve_run_000002	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.1	"{""train_prop"": ""tp_0.1"", ""family_model"": ""spacy_cnn"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.1"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.1, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000002.log	1764161825.2133434	1764161826.21415	1.000821590423584	0.1	no_balance	spacy_cnn	tp_0.1
ideo_learning_curve_run_000003	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.1	"{""train_prop"": ""tp_0.1"", ""family_model"": ""spacy_cnn"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.1"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.1, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000003.log	1764161826.2148812	1764161827.2156117	1.0007460117340088	0.1	oversample_parity	spacy_cnn	tp_0.1
ideo_learning_curve_run_000004	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.2	"{""train_prop"": ""tp_0.2"", ""family_model"": ""sklearn_svm"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.2"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.2, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000004.log	1764161827.216422	1764161828.2171109	1.0007097721099854	0.2	no_balance	sklearn_svm	tp_0.2
ideo_learning_curve_run_000005	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.2	"{""train_prop"": ""tp_0.2"", ""family_model"": ""sklearn_svm"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.2"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.2, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000005.log	1764161828.2178452	1764161829.2185936	1.0007617473602295	0.2	oversample_parity	sklearn_svm	tp_0.2
ideo_learning_curve_run_000006	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.2	"{""train_prop"": ""tp_0.2"", ""family_model"": ""spacy_cnn"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.2"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.2, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000006.log	1764161829.2193177	1764161830.220152	1.0008485317230225	0.2	no_balance	spacy_cnn	tp_0.2
ideo_learning_curve_run_000007	ideo_learning_curve		pipeline	failed	2	spacy	spacy_cnn_quick				0.2	"{""train_prop"": ""tp_0.2"", ""family_model"": ""spacy_cnn"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.2"", ""FAMILY"": ""spacy"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.2, ""families"": [""spacy""], ""models_spacy"": [""spacy_cnn_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000007.log	1764161830.2208831	1764161831.2216787	1.000809907913208	0.2	oversample_parity	spacy_cnn	tp_0.2
ideo_learning_curve_run_000008	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.3	"{""train_prop"": ""tp_0.3"", ""family_model"": ""sklearn_svm"", ""balance"": ""no_balance""}"	"{""TRAIN_PROP"": ""0.3"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""none"", ""SEED"": ""42""}"	"{""train_prop"": 0.3, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""none"", ""balance_preset"": ""small_alpha""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000008.log	1764161831.2224138	1764161832.2231581	1.000758409500122	0.3	no_balance	sklearn_svm	tp_0.3
ideo_learning_curve_run_000009	ideo_learning_curve		pipeline	failed	2	sklearn	tfidf_svm_quick				0.3	"{""train_prop"": ""tp_0.3"", ""family_model"": ""sklearn_svm"", ""balance"": ""oversample_parity""}"	"{""TRAIN_PROP"": ""0.3"", ""FAMILY"": ""sklearn"", ""BALANCE_STRATEGY"": ""oversample"", ""SEED"": ""42""}"	"{""train_prop"": 0.3, ""families"": [""sklearn""], ""models_sklearn"": [""tfidf_svm_quick""], ""balance_strategy"": ""oversample"", ""balance_preset"": ""parity""}"		superior/ideo_learning_curve/logs/ideo_learning_curve_run_000009.log	1764161832.2238448	1764161833.224648	1.0008177757263184	0.3	oversample_parity	sklearn_svm	tp_0.3
